,date,coordinates,model (name),model elevation,utc_offset,surface_pressure,surface_solar_radiation,relative_humidity
0,2020-01-22 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,103603.92,50.75,0.97
1,2020-01-23 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,103394.56,19.46,0.98
2,2020-01-23 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,102987.44,55.38,0.91
3,2020-01-24 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,102402.24,27.23,0.94
4,2020-01-24 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,102211.4,67.21,0.91
5,2020-01-25 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,102174.0,43.19,0.94
6,2020-01-25 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,102022.76,114.96,0.88
7,2020-01-26 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,101535.4,54.76,0.96
8,2020-01-26 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,101252.76,47.82,0.87
9,2020-01-27 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100534.4,32.34,0.93
10,2020-01-27 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100187.04,72.29,0.85
11,2020-01-28 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,98754.28,13.28,0.9
12,2020-01-28 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,99441.72,107.96,0.7
13,2020-01-29 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100337.24,61.91,0.8
14,2020-01-29 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100777.12,124.06,0.69
15,2020-01-30 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100797.52,55.36,0.87
16,2020-01-30 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100235.08,18.88,0.86
17,2020-01-31 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100706.36,62.52,0.87
18,2020-01-31 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100635.96,49.41,0.89
19,2020-02-01 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100028.44,25.96,0.92
20,2020-02-01 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100228.32,126.08,0.71
21,2020-02-02 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100577.72,11.5,0.95
22,2020-02-02 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100449.48,28.98,0.92
23,2020-02-03 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,101042.44,51.38,0.82
24,2020-02-03 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,101119.48,136.06,0.79
25,2020-02-04 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,101112.96,84.38,0.75
26,2020-02-04 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,101528.36,106.92,0.87
27,2020-02-05 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,103601.84,79.23,0.87
28,2020-02-05 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,103608.72,131.53,0.71
29,2020-02-06 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,103194.36,44.46,0.89
30,2020-02-06 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,103107.4,125.08,0.76
31,2020-02-07 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,102721.36,105.23,0.84
32,2020-02-07 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,102233.52,202.77,0.66
33,2020-02-08 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,101731.72,100.13,0.85
34,2020-02-08 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,101753.36,29.63,0.94
35,2020-02-09 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,100259.6,19.88,0.77
36,2020-02-09 16:00:00,"(52.4, 4.9)",era5,-1.74,1.0,98974.36,30.81,0.76
37,2020-02-10 10:00:00,"(52.4, 4.9)",era5,-1.74,1.0,99416.12,74.2,0.67
