,date,coordinates,model (name),model elevation,utc_offset,surface_pressure,surface_solar_radiation,relative_humidity
0,2020-01-22 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,103599.8,47.06,0.96
1,2020-01-23 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,103363.2,15.7,0.95
2,2020-01-23 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,102949.4,63.96,0.85
3,2020-01-24 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,102406.2,21.24,0.94
4,2020-01-24 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,102221.4,62.34,0.92
5,2020-01-25 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,102177.0,51.16,0.94
6,2020-01-25 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,102002.6,118.82,0.89
7,2020-01-26 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101526.4,48.04,0.96
8,2020-01-26 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101250.4,50.28,0.86
9,2020-01-27 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100566.2,32.98,0.92
10,2020-01-27 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,100183.8,79.74,0.82
11,2020-01-28 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,98971.2,17.12,0.84
12,2020-01-28 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,99598.4,126.76,0.64
13,2020-01-29 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100489.4,64.86,0.79
14,2020-01-29 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,100890.6,125.38,0.66
15,2020-01-30 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100877.6,61.38,0.87
16,2020-01-30 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,100266.8,9.6,0.87
17,2020-01-31 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100806.8,59.18,0.86
18,2020-01-31 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,100737.0,52.66,0.88
19,2020-02-01 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100125.8,22.94,0.92
20,2020-02-01 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,100336.4,126.7,0.72
21,2020-02-02 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100483.0,7.8,0.95
22,2020-02-02 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,100572.6,51.64,0.84
23,2020-02-03 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101175.8,56.9,0.8
24,2020-02-03 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101176.4,103.26,0.79
25,2020-02-04 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101241.0,83.42,0.73
26,2020-02-04 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101595.6,81.38,0.89
27,2020-02-05 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,103608.6,80.64,0.91
28,2020-02-05 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,103618.6,153.82,0.7
29,2020-02-06 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,103208.0,69.14,0.91
30,2020-02-06 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,103091.4,127.38,0.75
31,2020-02-07 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,102621.2,115.34,0.89
32,2020-02-07 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,102153.2,215.66,0.61
33,2020-02-08 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101736.0,105.34,0.82
34,2020-02-08 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101786.2,34.0,0.94
35,2020-02-09 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100422.2,27.32,0.76
36,2020-02-09 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,99178.4,27.48,0.74
37,2020-02-10 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,99630.4,95.44,0.62
38,2020-02-10 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,99740.4,148.6,0.65
39,2020-02-11 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100172.6,123.58,0.63
40,2020-02-11 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,100439.4,194.26,0.61
41,2020-02-12 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101168.8,115.38,0.7
42,2020-02-12 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101388.4,201.2,0.61
43,2020-02-13 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,99808.0,24.14,0.9
44,2020-02-13 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,99423.8,136.74,0.83
45,2020-02-14 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101874.0,90.86,0.81
46,2020-02-14 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,102019.2,216.46,0.71
47,2020-02-15 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101591.0,65.7,0.85
48,2020-02-15 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101051.0,70.28,0.75
49,2020-02-16 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,99790.2,19.6,0.81
50,2020-02-16 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,99343.4,24.02,0.78
51,2020-02-17 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100957.6,129.16,0.77
52,2020-02-17 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101008.6,223.48,0.73
53,2020-02-18 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101963.4,162.3,0.8
54,2020-02-18 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101843.4,243.78,0.66
55,2020-02-19 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101807.8,150.62,0.71
56,2020-02-19 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,102025.0,162.94,0.65
57,2020-02-20 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101294.4,51.32,0.82
58,2020-02-20 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,100754.4,80.3,0.77
59,2020-02-21 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,102375.0,170.48,0.79
60,2020-02-21 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,102286.2,168.18,0.74
61,2020-02-22 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101582.0,27.06,0.76
62,2020-02-22 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101694.2,46.38,0.85
63,2020-02-23 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,100792.2,5.02,0.91
64,2020-02-23 16:00:00,"(51.9, 4.5)",era5,0.93,1.0,101193.4,61.28,0.87
65,2020-02-24 10:00:00,"(51.9, 4.5)",era5,0.93,1.0,101507.4,17.82,0.81
