,date,coordinates,model (name),model elevation,utc_offset,surface_pressure,surface_solar_radiation,relative_humidity
0,2020-01-22 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,103601.56,58.46,0.96
1,2020-01-23 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,103363.68,13.75,0.96
2,2020-01-23 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,102951.72,62.41,0.89
3,2020-01-24 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,102390.52,24.6,0.88
4,2020-01-24 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,102206.52,74.92,0.86
5,2020-01-25 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,102157.48,45.23,0.9
6,2020-01-25 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101985.64,111.49,0.87
7,2020-01-26 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101493.68,39.81,0.95
8,2020-01-26 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101222.32,56.72,0.87
9,2020-01-27 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100517.0,32.16,0.91
10,2020-01-27 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100149.56,92.3,0.87
11,2020-01-28 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,98914.64,13.08,0.86
12,2020-01-28 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,99547.92,123.12,0.66
13,2020-01-29 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100445.0,65.08,0.77
14,2020-01-29 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100845.24,121.1,0.67
15,2020-01-30 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100823.36,59.46,0.88
16,2020-01-30 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100212.24,12.02,0.89
17,2020-01-31 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100752.0,59.19,0.88
18,2020-01-31 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100674.12,54.15,0.9
19,2020-02-01 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100083.4,27.52,0.92
20,2020-02-01 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100297.68,132.58,0.74
21,2020-02-02 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100475.88,7.87,0.93
22,2020-02-02 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100534.2,50.32,0.87
23,2020-02-03 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101134.52,55.66,0.81
24,2020-02-03 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101154.8,106.46,0.82
25,2020-02-04 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101204.76,82.98,0.73
26,2020-02-04 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101592.48,78.22,0.88
27,2020-02-05 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,103609.56,76.31,0.82
28,2020-02-05 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,103620.44,161.49,0.69
29,2020-02-06 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,103191.44,61.35,0.86
30,2020-02-06 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,103087.16,151.93,0.79
31,2020-02-07 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,102614.72,111.06,0.87
32,2020-02-07 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,102128.4,214.26,0.66
33,2020-02-08 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101691.52,95.42,0.85
34,2020-02-08 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101755.96,36.82,0.94
35,2020-02-09 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100248.28,19.83,0.78
36,2020-02-09 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,99023.52,29.32,0.78
37,2020-02-10 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99555.92,94.2,0.64
38,2020-02-10 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,99661.04,150.21,0.69
39,2020-02-11 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100096.92,121.13,0.64
40,2020-02-11 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100377.72,196.36,0.59
41,2020-02-12 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101107.44,118.78,0.69
42,2020-02-12 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101352.48,204.14,0.62
43,2020-02-13 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99753.6,24.61,0.91
44,2020-02-13 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,99378.92,120.19,0.85
45,2020-02-14 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101861.76,102.11,0.8
46,2020-02-14 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101989.12,214.57,0.74
47,2020-02-15 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101523.88,67.0,0.87
48,2020-02-15 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100956.76,71.07,0.77
49,2020-02-16 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99670.2,19.16,0.83
50,2020-02-16 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,99298.52,26.61,0.82
51,2020-02-17 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100878.8,122.6,0.77
52,2020-02-17 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100949.32,222.18,0.77
53,2020-02-18 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101901.4,155.18,0.76
54,2020-02-18 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101788.2,250.54,0.71
55,2020-02-19 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101772.92,142.53,0.71
56,2020-02-19 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101984.6,167.78,0.68
57,2020-02-20 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101213.52,46.47,0.85
58,2020-02-20 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100663.2,69.62,0.79
59,2020-02-21 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,102311.96,169.55,0.78
60,2020-02-21 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,102220.12,188.07,0.77
61,2020-02-22 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101476.4,19.84,0.82
62,2020-02-22 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101628.52,59.48,0.82
63,2020-02-23 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100689.64,6.5,0.89
64,2020-02-23 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,101208.52,75.12,0.85
65,2020-02-24 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101433.96,22.91,0.79
66,2020-02-24 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100391.44,23.25,0.88
67,2020-02-25 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99970.96,182.18,0.73
68,2020-02-25 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,99680.0,244.13,0.67
69,2020-02-26 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99717.08,114.15,0.91
70,2020-02-26 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100219.24,282.23,0.76
71,2020-02-27 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99816.48,61.75,0.91
72,2020-02-27 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,99778.72,23.27,0.95
73,2020-02-28 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,101501.04,153.96,0.8
74,2020-02-28 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100862.64,89.39,0.77
75,2020-02-29 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,98680.24,149.23,0.76
76,2020-02-29 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,98629.36,226.84,0.74
77,2020-03-01 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99037.76,180.2,0.81
78,2020-03-01 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,99053.16,284.4,0.7
79,2020-03-02 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,98731.64,43.24,0.9
80,2020-03-02 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,98810.04,139.36,0.91
81,2020-03-03 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99994.44,213.65,0.77
82,2020-03-03 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100225.4,253.35,0.64
83,2020-03-04 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,100991.0,195.47,0.83
84,2020-03-04 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,100895.68,313.44,0.68
85,2020-03-05 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99675.68,58.09,0.89
86,2020-03-05 16:00:00,"(52.1, 4.3)",era5,0.19,1.0,99055.24,63.37,0.87
87,2020-03-06 10:00:00,"(52.1, 4.3)",era5,0.19,1.0,99686.56,168.44,0.84
